id,descricao,prazo,campos,abertura,maximo,minimo,media,quantidade,ultimo,ultimoDataHora,variacao,melhorOferta,primeiroNegocio,ultimoNegocio,favorito,statusLimite,seguindo,ativo,classificacaoProdutoId,classificacaoProduto,tiposProdutosAcompanhados
1281,SE CON ANU JAN/19 DEZ/19 - Preço Fixo,12,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'SE/CO', 'info': '#f39c11', 'ordem': 1, 'label': 'SE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/01/2019', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '31/12/2019', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '8760', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '12', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'ANUAL', 'info': '12', 'ordem': 12, 'label': 'ANU'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '31/05/2016', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '08/02/2019', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,5,,2018-03-19T13:50:38,,"{'quantidadeCompra': 1.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 210.0, 'quantidadeVenda': 1.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 215.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",2018-01-11T16:18:09,2018-03-09T15:43:24,False,False,False,True,1,,
1282,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,12,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'SE/CO', 'info': '#f39c11', 'ordem': 1, 'label': 'SE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/01/2020', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '31/12/2020', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '8784', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '12', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'ANUAL', 'info': '12', 'ordem': 12, 'label': 'ANU'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '31/05/2016', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '10/02/2020', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,2,,2018-03-19T10:36:35,,"{'quantidadeCompra': 1.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 185.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1283,SE CON ANU JAN/21 DEZ/21 - Preço Fixo,12,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'SE/CO', 'info': '#f39c11', 'ordem': 1, 'label': 'SE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/01/2021', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '31/12/2021', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '8760', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '12', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'ANUAL', 'info': '12', 'ordem': 12, 'label': 'ANU'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '31/05/2016', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '08/02/2021', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,1,,2018-03-19T10:32:43,,"{'quantidadeCompra': 5.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 150.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",2017-03-21T17:33:19,2018-02-26T16:54:25,False,False,False,True,1,,
1751,NE CON TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'NE', 'info': '#d25400', 'ordem': 3, 'label': 'NE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,1,,2018-03-19T13:48:26,,"{'quantidadeCompra': 0.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 0.0, 'quantidadeVenda': 2.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 242.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1752,NO CON TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'N', 'info': '#179f87', 'ordem': 4, 'label': 'NO'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,0,,,,"{'quantidadeCompra': 0.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 0.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1753,SE CON TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'SE/CO', 'info': '#f39c11', 'ordem': 1, 'label': 'SE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",245.0,248.0,245.0,245.54,18,248.0,2018-03-19T13:27:29,1.22,"{'quantidadeCompra': 2.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 245.0, 'quantidadeVenda': 1.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 247.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",2017-12-05T11:19:41,2018-03-19T13:42:35,False,False,False,True,1,,
1754,SU CON TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'S', 'info': '#297fb5', 'ordem': 2, 'label': 'SU'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Convencional', 'info': None, 'ordem': 1, 'label': 'CON'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,2,,2018-03-19T11:34:06,,"{'quantidadeCompra': 2.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 239.0, 'quantidadeVenda': 1.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 250.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1755,NE I5 TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'NE', 'info': '#d25400', 'ordem': 3, 'label': 'NE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Incentivada 50%', 'info': None, 'ordem': 3, 'label': 'I5'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,0,,,,"{'quantidadeCompra': 0.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 0.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1756,NO I5 TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'N', 'info': '#179f87', 'ordem': 4, 'label': 'NO'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Incentivada 50%', 'info': None, 'ordem': 3, 'label': 'I5'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,0,,,,"{'quantidadeCompra': 0.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 0.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",,,False,False,False,True,1,,
1757,SE I5 TRI ABR/18 JUN/18 - Preço Fixo,3,"[{'id': 1, 'nome': 'TipoNegociacao', 'valor': 'MWmed', 'info': None, 'ordem': 0, 'label': None}, {'id': 2, 'nome': 'UnidadeValor', 'valor': 'Preço Fixo', 'info': None, 'ordem': 1, 'label': 'Fixo'}, {'id': 3, 'nome': 'Submercado', 'valor': 'SE/CO', 'info': '#f39c11', 'ordem': 1, 'label': 'SE'}, {'id': 4, 'nome': 'Patamar', 'valor': 'Flat', 'info': None, 'ordem': 1, 'label': 'Flat'}, {'id': 5, 'nome': 'Fonte', 'valor': 'Incentivada 50%', 'info': None, 'ordem': 3, 'label': 'I5'}, {'id': 7, 'nome': 'IniFornec', 'valor': '01/04/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 8, 'nome': 'FimFornec', 'valor': '30/06/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 9, 'nome': 'HorSuprim', 'valor': '2184', 'info': None, 'ordem': 0, 'label': None}, {'id': 11, 'nome': 'Sazo', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 15, 'nome': 'Flex', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 19, 'nome': 'Mod', 'valor': 'Não', 'info': None, 'ordem': 0, 'label': None}, {'id': 23, 'nome': 'Faturamento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 24, 'nome': 'Vencimento', 'valor': 'Conforme Cláusula 14 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 25, 'nome': 'Registro', 'valor': 'Conforme Cláusula 17 do Contrato Padrão BBCE v5.0', 'info': None, 'ordem': 0, 'label': None}, {'id': 30, 'nome': 'Prazo', 'valor': '3', 'info': None, 'ordem': 0, 'label': None}, {'id': 31, 'nome': 'PrazoStr', 'valor': 'TRIMESTRAL', 'info': '3', 'ordem': 3, 'label': 'TRI'}, {'id': 32, 'nome': 'TipoProduto', 'valor': 'Físico', 'info': None, 'ordem': 0, 'label': None}, {'id': 34, 'nome': 'IniPerm', 'valor': '20/07/2017', 'info': None, 'ordem': 0, 'label': None}, {'id': 35, 'nome': 'FimPerm', 'valor': '09/05/2018', 'info': None, 'ordem': 0, 'label': None}, {'id': 36, 'nome': 'LimiteAlertaOferta', 'valor': '25', 'info': None, 'ordem': 0, 'label': None}]",,,,,1,,2018-03-19T11:43:02,,"{'quantidadeCompra': 3.0, 'quantidadeCompraLimite': 0.0, 'precoCompra': 275.0, 'quantidadeVenda': 0.0, 'quantidadeVendaLimite': 0.0, 'precoVenda': 0.0, 'statusLimiteCompra': 0, 'statusLimiteVenda': 0}",2018-02-20T17:00:56,2018-03-16T11:25:49,False,False,False,True,1,,
